date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:23	232/232	---MCZ	200	added ('OK')	text/plain	etag:W/%2262e93dba-1d8%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/robots.txt		(from )
18:50:24	137402/137402	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:24%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/index.html	(from )
18:50:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2018%20Sep%202022%2016:50:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/phonehouse/www.googletagmanager.com/gtm.05445.delayed	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:26	108781/108781	---MC-	200	added ('OK')	application/javascript	date:Sun,%2018%20Sep%202022%2015:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-107427349-5	C:/My%20Web%20Sites/phonehouse/www.googletagmanager.com/gtag/js6f5c	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:26	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2263243dae-12d68%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/fonts/fontawesome-webfont3e6e.woff2	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:26	51206/51206	---MCZ	200	added ('OK')	text/css	etag:W/%2263243ece-c777%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/css/common.css?51063	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/css/common93f0.css	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:26	68215/68215	---MCZ	200	added ('OK')	text/css	etag:W/%2263243eca-10aba%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/css/site.css?68282	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/css/sitea7fd.css	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:26	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263232acb-302c%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:27	7490/7490	---MCZ	200	added ('OK')	text/css	etag:W/%2262e93ecb-1d51%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/css/home.css	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/css/home.css	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:27	3352/3352	---M-Z	200	added ('OK')	text/css	etag:W/%2262e93db7-d18%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/css/owl.carousel.min.css	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/css/owl.carousel.min.css	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
